pair 01, session 1, subject 1 : 0.96
pair 01, session 1, subject 2 : 0.64
pair 01, session 2, subject 1 : 0.93
pair 01, session 2, subject 2 : 0.59
pair 01, session 3, subject 1 : 0.86
pair 01, session 3, subject 2 : 0.64
pair 01, session 4, subject 1 : 0.91
pair 01, session 4, subject 2 : 0.59
pair 02, session 1, subject 1 : 0.97
pair 02, session 1, subject 2 : 0.56
pair 02, session 2, subject 1 : 0.79
pair 02, session 2, subject 2 : 0.55
pair 02, session 3, subject 1 : 0.97
pair 02, session 3, subject 2 : 0.62
pair 02, session 4, subject 1 : 0.97
pair 02, session 4, subject 2 : 0.56
pair 03, session 1, subject 1 : 0.92
pair 03, session 1, subject 2 : 0.51
pair 03, session 2, subject 1 : 0.86
pair 03, session 2, subject 2 : 0.59
pair 03, session 3, subject 1 : 0.83
pair 03, session 3, subject 2 : 0.48
pair 03, session 4, subject 1 : 0.88
pair 03, session 4, subject 2 : 0.60
pair 04, session 1, subject 1 : 0.91
pair 04, session 1, subject 2 : 0.72
pair 04, session 2, subject 1 : 0.91
pair 04, session 2, subject 2 : 0.49
pair 04, session 3, subject 1 : 0.89
pair 04, session 3, subject 2 : 0.65
pair 04, session 4, subject 1 : 0.93
pair 04, session 4, subject 2 : 0.63
pair 05, session 1, subject 1 : 0.94
pair 05, session 1, subject 2 : 0.68
pair 05, session 2, subject 1 : 0.81
pair 05, session 2, subject 2 : 0.59
pair 05, session 3, subject 1 : 0.92
pair 05, session 3, subject 2 : 0.70
pair 05, session 4, subject 1 : 0.97
pair 05, session 4, subject 2 : 0.73
pair 06, session 1, subject 1 : 0.94
pair 06, session 1, subject 2 : 0.56
pair 06, session 2, subject 1 : 0.96
pair 06, session 2, subject 2 : 0.67
pair 06, session 3, subject 1 : 0.94
pair 06, session 3, subject 2 : 0.51
pair 06, session 4, subject 1 : 0.94
pair 06, session 4, subject 2 : 0.72
pair 07, session 1, subject 1 : 0.92
pair 07, session 1, subject 2 : 0.50
pair 07, session 2, subject 1 : 0.94
pair 07, session 2, subject 2 : 0.58
pair 07, session 3, subject 1 : 0.93
pair 07, session 3, subject 2 : 0.56
pair 07, session 4, subject 1 : 0.98
pair 07, session 4, subject 2 : 0.46
pair 08, session 1, subject 1 : 0.90
pair 08, session 1, subject 2 : 0.59
pair 08, session 2, subject 1 : 0.95
pair 08, session 2, subject 2 : 0.46
pair 08, session 3, subject 1 : 0.96
pair 08, session 3, subject 2 : 0.56
pair 08, session 4, subject 1 : 0.84
pair 08, session 4, subject 2 : 0.56
pair 09, session 1, subject 1 : 0.95
pair 09, session 1, subject 2 : 0.48
pair 09, session 2, subject 1 : 0.96
pair 09, session 2, subject 2 : 0.55
pair 09, session 3, subject 1 : 0.97
pair 09, session 3, subject 2 : 0.55
pair 09, session 4, subject 1 : 0.93
pair 09, session 4, subject 2 : 0.58
pair 10, session 1, subject 1 : 0.95
pair 10, session 1, subject 2 : 0.51
pair 10, session 2, subject 1 : 0.88
pair 10, session 2, subject 2 : 0.52
pair 10, session 3, subject 1 : 0.95
pair 10, session 3, subject 2 : 0.49
pair 10, session 4, subject 1 : 0.97
pair 10, session 4, subject 2 : 0.52
pair 11, session 1, subject 1 : 0.98
pair 11, session 1, subject 2 : 0.76
pair 11, session 2, subject 1 : 0.97
pair 11, session 2, subject 2 : 0.67
pair 11, session 3, subject 1 : 0.97
pair 11, session 3, subject 2 : 0.60
pair 11, session 4, subject 1 : 0.99
pair 11, session 4, subject 2 : 0.57
pair 12, session 1, subject 1 : 0.84
pair 12, session 1, subject 2 : 0.56
pair 12, session 2, subject 1 : 0.87
pair 12, session 2, subject 2 : 0.58
pair 12, session 3, subject 1 : 0.79
pair 12, session 3, subject 2 : 0.53
pair 12, session 4, subject 1 : 0.88
pair 12, session 4, subject 2 : 0.63
pair 13, session 1, subject 1 : 0.95
pair 13, session 1, subject 2 : 0.52
pair 13, session 2, subject 1 : 0.93
pair 13, session 2, subject 2 : 0.56
pair 13, session 3, subject 1 : 0.91
pair 13, session 3, subject 2 : 0.60
pair 13, session 4, subject 1 : 0.89
pair 13, session 4, subject 2 : 0.53
pair 14, session 1, subject 1 : 0.96
pair 14, session 1, subject 2 : 0.69
pair 14, session 2, subject 1 : 0.93
pair 14, session 2, subject 2 : 0.74
pair 14, session 3, subject 1 : 0.97
pair 14, session 3, subject 2 : 0.71
pair 14, session 4, subject 1 : 0.95
pair 14, session 4, subject 2 : 0.71
pair 15, session 1, subject 1 : 0.97
pair 15, session 1, subject 2 : 0.58
pair 15, session 2, subject 1 : 0.96
pair 15, session 2, subject 2 : 0.69
pair 15, session 3, subject 1 : 0.93
pair 15, session 3, subject 2 : 0.68
pair 15, session 4, subject 1 : 0.92
pair 15, session 4, subject 2 : 0.58
pair 16, session 1, subject 1 : 0.90
pair 16, session 1, subject 2 : 0.58
pair 16, session 2, subject 1 : 0.90
pair 16, session 2, subject 2 : 0.59
pair 16, session 3, subject 1 : 0.93
pair 16, session 3, subject 2 : 0.58
pair 16, session 4, subject 1 : 0.89
pair 16, session 4, subject 2 : 0.57
pair 17, session 1, subject 1 : 0.82
pair 17, session 1, subject 2 : 0.67
pair 17, session 2, subject 1 : 0.76
pair 17, session 2, subject 2 : 0.62
pair 17, session 3, subject 1 : 0.78
pair 17, session 3, subject 2 : 0.66
pair 17, session 4, subject 1 : 0.70
pair 17, session 4, subject 2 : 0.58
pair 18, session 1, subject 1 : 0.62
pair 18, session 1, subject 2 : 0.67
pair 18, session 2, subject 1 : 0.60
pair 18, session 2, subject 2 : 0.63
pair 18, session 3, subject 1 : 0.69
pair 18, session 3, subject 2 : 0.69
pair 18, session 4, subject 1 : 0.57
pair 18, session 4, subject 2 : 0.67
pair 19, session 1, subject 1 : 0.85
pair 19, session 1, subject 2 : 0.69
pair 19, session 2, subject 1 : 0.80
pair 19, session 2, subject 2 : 0.65
pair 19, session 3, subject 1 : 0.77
pair 19, session 3, subject 2 : 0.61
pair 19, session 4, subject 1 : 0.74
pair 19, session 4, subject 2 : 0.58
